## reporting unit PofZ values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999  NumValuesInAverage= 998
IndivName	ValueType	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANVI07_22	SD	0.00000214	0.00000000	0.00000000	0.00160538	0.00160385
KANVI07_23	Posterior.Mean	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000
KANVI07_23	SD	0.00000000	0.00000003	0.00000000	0.00000000	0.00000000
KANVI07_24	Posterior.Mean	0.00000025	0.00000000	0.00000000	0.99993304	0.00006671
KANVI07_24	SD	0.00000005	0.00000000	0.00000000	0.00001274	0.00001270
KANVI07_25	Posterior.Mean	0.00003704	0.00000000	0.00000000	0.98653005	0.01343291
KANVI07_25	SD	0.00000822	0.00000000	0.00000000	0.00267161	0.00266690
KANVI07_26	Posterior.Mean	0.00000056	0.00000000	0.00000000	0.99997615	0.00002328
KANVI07_26	SD	0.00000012	0.00000000	0.00000000	0.00000407	0.00000398
KANVI07_27	Posterior.Mean	0.00000780	0.00000000	0.00000000	0.99659748	0.00339471
KANVI07_27	SD	0.00000170	0.00000000	0.00000000	0.00062066	0.00061945
KANVI07_28	Posterior.Mean	0.00000012	0.98634268	0.00958096	0.00407607	0.00000017
KANVI07_28	SD	0.00000002	0.00203604	0.00154301	0.00083262	0.00000003
KANVI07_29	Posterior.Mean	0.00017196	0.00000000	0.00000000	0.90191793	0.09791010
KANVI07_29	SD	0.00002352	0.00000000	0.00000000	0.01412552	0.01411855
KANVI07_30	Posterior.Mean	0.08938881	0.00000000	0.00000000	0.88193046	0.02868073
KANVI07_30	SD	0.01571927	0.00000000	0.00000000	0.01808807	0.00450489
KANVI07_31	Posterior.Mean	0.00000008	0.00000000	0.00000000	0.99999744	0.00000248
KANVI07_31	SD	0.00000002	0.00000000	0.00000000	0.00000049	0.00000047
KANVI07_32	Posterior.Mean	0.00000068	0.00000000	0.00000000	0.99975471	0.00024461
KANVI07_32	SD	0.00000014	0.00000000	0.00000000	0.00004720	0.00004710
