## trace file of population Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
1040	0.04938371	0.02107518	0.02710596	0.02109327	0.04007602	0.02147214	0.03091917	0.03968412	0.04591106	0.03120640	0.03114728	0.03953303	0.01252627	0.04886379	0.03660313	0.04499265	0.03623877	0.02922219	0.04235570	0.04311379	0.05824295	0.01973671	0.02781980	0.04375246	0.04179189	0.03834940	0.05072488	0.02705827
1060	0.04341711	0.01890990	0.02318656	0.02479094	0.03161793	0.03795827	0.04237855	0.03603749	0.03827542	0.02665501	0.02974193	0.04614819	0.02448011	0.03993639	0.04270926	0.03806778	0.03469152	0.01553529	0.05263982	0.03973702	0.04563196	0.03719949	0.02105056	0.04040689	0.04552769	0.03548488	0.05393619	0.03384784
1080	0.04076029	0.02601469	0.02183611	0.02457427	0.03132396	0.03840221	0.03363981	0.02971133	0.03786183	0.02397742	0.03243865	0.03065199	0.02564366	0.04665808	0.03837802	0.03742614	0.03359091	0.01612998	0.05660394	0.05023339	0.04166072	0.02653341	0.03132682	0.04020730	0.04834004	0.04188928	0.06041613	0.03376962
1100	0.04355856	0.02428331	0.03264351	0.02993412	0.03269233	0.03224064	0.03808889	0.04166608	0.04510741	0.02924759	0.04848453	0.03805662	0.02713300	0.04187342	0.03801769	0.04343353	0.04743557	0.01459043	0.03354261	0.03395422	0.04684523	0.01843853	0.02334849	0.03821285	0.04705224	0.03351695	0.04589973	0.03070192
1120	0.04908050	0.01728075	0.02404813	0.03096824	0.03635033	0.03652544	0.03663339	0.04501210	0.03600213	0.02564734	0.03814110	0.03715542	0.01591739	0.03242678	0.03130598	0.04059941	0.06116373	0.02129286	0.05435361	0.04063512	0.05489773	0.02366913	0.01855225	0.04170115	0.03518805	0.03775815	0.03777377	0.03992001
1140	0.05231683	0.01670605	0.02355272	0.02361943	0.03790275	0.04256716	0.04803465	0.03969442	0.04253927	0.03250358	0.03683992	0.03968291	0.02207020	0.04442310	0.03723429	0.03375145	0.03467875	0.01624953	0.03918509	0.04611822	0.04233129	0.02194620	0.01600381	0.03796924	0.03951331	0.03859869	0.05237149	0.04159567
1160	0.04557451	0.01833096	0.02088951	0.03290945	0.03270207	0.03505236	0.04100261	0.03172480	0.03767129	0.02265359	0.03029480	0.04499268	0.02198858	0.04316132	0.03813967	0.03945360	0.04146718	0.01517780	0.06228422	0.03608517	0.04269020	0.02922847	0.02595452	0.04846418	0.04159893	0.03128025	0.05563075	0.03359653
1180	0.04073092	0.01921739	0.02372299	0.02861289	0.03253474	0.03442278	0.04863758	0.03659732	0.04302934	0.02398867	0.03786297	0.04309261	0.02034653	0.05182212	0.04071050	0.03015569	0.03332655	0.02467258	0.02957573	0.04811170	0.05446226	0.01832596	0.02351480	0.03865028	0.04286297	0.03956534	0.05546070	0.03598609
1200	0.04414437	0.01729779	0.03976509	0.02334804	0.02858176	0.03419365	0.03702336	0.04038608	0.04288260	0.02639623	0.02521101	0.04451387	0.01826543	0.04177684	0.03715621	0.04582543	0.05382498	0.01667529	0.03952021	0.04046523	0.04329171	0.02733591	0.02363081	0.04189640	0.04700607	0.02979873	0.04971000	0.04007689
1220	0.04585866	0.02191525	0.03611832	0.02808090	0.03238520	0.03089531	0.05197646	0.04780451	0.03693731	0.01522243	0.03563718	0.04764000	0.02563251	0.03739195	0.03851611	0.03344605	0.03493564	0.01973536	0.03216025	0.05072820	0.04452337	0.02870138	0.02231267	0.03971200	0.03841305	0.04243730	0.04481401	0.03606862
