## trace file of reporting unit Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
6620	0.11437005	0.02602851	0.12408893	0.12599705	0.60951546
6640	0.11275427	0.03615788	0.11953198	0.11121111	0.62034475
6660	0.10802609	0.03588186	0.12775852	0.10837395	0.61995958
6680	0.11287810	0.02937370	0.11804904	0.09906450	0.64063467
6700	0.10894376	0.03586562	0.11667791	0.11021013	0.62830258
6720	0.11415954	0.04138702	0.10562792	0.09322615	0.64559938
6740	0.10999807	0.03231070	0.12722214	0.10699550	0.62347359
6760	0.10053263	0.02913173	0.12646849	0.10392187	0.63994528
6780	0.11067566	0.04305086	0.11510026	0.09812079	0.63305243
6800	0.10674433	0.03624289	0.11880136	0.10484671	0.63336471
6820	0.11525501	0.03361815	0.11160056	0.11198482	0.62754146
6840	0.10952501	0.02773032	0.10512489	0.11729121	0.64032857
6860	0.10547041	0.03040623	0.11496544	0.10749603	0.64166188
6880	0.10288906	0.02984179	0.12284352	0.10930539	0.63512024
6900	0.11630495	0.03072355	0.12623263	0.10192135	0.62481752
6920	0.11053518	0.03046091	0.11530381	0.11176843	0.63193166
6940	0.12019731	0.03267511	0.11718005	0.09982546	0.63012206
6960	0.11351838	0.03547437	0.12128202	0.10768015	0.62204507
6980	0.11342852	0.03132843	0.11223684	0.10894881	0.63405740
7000	0.10823647	0.02469675	0.12709358	0.10754640	0.63242679
7020	0.10779412	0.03380600	0.12117486	0.11014187	0.62708314
7040	0.11272535	0.03312021	0.11959715	0.09915015	0.63540714
7060	0.11246048	0.02773242	0.12061281	0.10887214	0.63032215
7080	0.10413983	0.03363228	0.12396772	0.09827078	0.63998939
7100	0.12441544	0.02853838	0.11515652	0.09354456	0.63834510
7120	0.11608779	0.03089136	0.11663081	0.10725313	0.62913692
7140	0.12104225	0.03579801	0.11559192	0.10719218	0.62037563
7160	0.10104225	0.03644407	0.11125663	0.10599646	0.64526058
7180	0.10772414	0.03663751	0.12962340	0.10174874	0.62426621
7200	0.10745725	0.03196128	0.11815671	0.09592224	0.64650252
7220	0.09908227	0.03550088	0.11149483	0.12508833	0.62883369
7240	0.11135338	0.02517441	0.12168788	0.09252359	0.64926074
7260	0.10956866	0.03364122	0.11978132	0.10243578	0.63457302
7280	0.11547693	0.03521022	0.11511333	0.10932952	0.62487000
7300	0.11489147	0.03253475	0.11947981	0.09562189	0.63747209
7320	0.11557887	0.03143401	0.12581922	0.10113367	0.62603424
7340	0.11665560	0.02830652	0.11684437	0.09978620	0.63840731
7360	0.11285492	0.03414308	0.11666072	0.11367881	0.62266246
7380	0.11592571	0.03838332	0.11631916	0.09796162	0.63141019
7400	0.11142012	0.03631635	0.10640001	0.11116355	0.63469997
7420	0.11038370	0.02824672	0.11459098	0.11022176	0.63655685
7440	0.10678037	0.02804430	0.12550070	0.10981176	0.62986287
7460	0.11849922	0.03110532	0.11793703	0.10696663	0.62549180
7480	0.11723885	0.03533215	0.11362022	0.10489321	0.62891556
7500	0.09523595	0.03150867	0.12398138	0.11278636	0.63648764
7520	0.11009884	0.03367868	0.12000321	0.10662788	0.62959139
7540	0.11617926	0.03008547	0.12899934	0.10713477	0.61760116
7560	0.10741677	0.02972822	0.12791688	0.10833794	0.62660019
7580	0.12005494	0.03140170	0.10454429	0.11131575	0.63268332
7600	0.11773650	0.03021030	0.12345355	0.10201804	0.62658162
7620	0.10505758	0.02873685	0.10910320	0.10239041	0.65471196
7640	0.11927729	0.03815870	0.11637370	0.10162293	0.62456739
7660	0.10364983	0.03418870	0.11096274	0.11678372	0.63441500
7680	0.11302656	0.04282600	0.10998711	0.10148662	0.63267371
7700	0.10963923	0.03601107	0.10862417	0.09763136	0.64809417
7720	0.11117305	0.02876227	0.12575865	0.10500257	0.62930346
7740	0.12241108	0.03321656	0.11627756	0.11797584	0.61011896
7760	0.11046018	0.03962405	0.11607131	0.10568346	0.62816100
7780	0.12115636	0.03437822	0.12823442	0.10136856	0.61486245
7800	0.11003440	0.02911394	0.12333406	0.09484999	0.64266762
7820	0.11554350	0.02928869	0.12649325	0.10793143	0.62074313
7840	0.09824749	0.02877305	0.12566344	0.08796794	0.65934808
7860	0.10327659	0.03410530	0.11483039	0.10926849	0.63851923
7880	0.11815063	0.02991196	0.10215034	0.11257565	0.63721142
7900	0.11049827	0.03202437	0.12686305	0.09653431	0.63407999
7920	0.10575840	0.02883897	0.11590095	0.09440575	0.65509593
7940	0.11134642	0.03212636	0.12717063	0.09338555	0.63597104
7960	0.11475211	0.02696068	0.11313235	0.09841886	0.64673600
7980	0.10884665	0.03529972	0.11925766	0.11606271	0.62053326
8000	0.09897531	0.03010711	0.11056744	0.09646647	0.66388367
8020	0.12154446	0.03475099	0.11207156	0.09919970	0.63243329
8040	0.12271059	0.03203097	0.12263534	0.11324582	0.60937729
8060	0.10737555	0.03731813	0.11933612	0.10490184	0.63106837
8080	0.12242153	0.03046128	0.09981848	0.11048722	0.63681150
8100	0.11491722	0.03461599	0.11261269	0.09763221	0.64022188
8120	0.09994837	0.03646364	0.12008337	0.11469485	0.62880978
8140	0.10691272	0.03009253	0.10936775	0.10579582	0.64783117
8160	0.11098919	0.02944611	0.11688187	0.10610790	0.63657492
